Q2_3,Q2_8,Q2_7,Q9_2A,Q3_7,Q2_13,Q5_2,Q6_2,Financial_Vulnerability
34,6,4,10000.0,1,0,29000,21000,8000
21,4,4,50000.0,2,1,290000,346000,-56000
52,3,0,0.0,0,1,60000,73000,-13000
31,2,4,0.0,2,1,104000,80000,24000
32,2,4,0.0,2,1,107000,87000,20000
24,2,4,0.0,1,1,119000,193000,-74000
32,5,4,80000.0,1,1,268000,263000,5000
38,4,3,1000.0,1,1,37000,44000,-7000
30,2,1,0.0,2,1,55000,68000,-13000
40,6,1,4200.0,1,1,125000,146000,-21000
27,2,1,37000.0,1,1,125000,135000,-10000
30,2,4,0.0,1,1,134000,178000,-44000
33,1,4,0.0,1,0,119000,98000,21000
28,6,4,5000.0,0,1,40000,38000,2000
24,14,4,10500.0,1,1,105000,75000,30000
30,4,3,15500.0,1,0,141000,139000,2000
30,9,3,21000.0,2,1,151000,378000,-227000
18,3,4,0.0,1,1,119000,177000,-58000
25,4,4,0.0,1,1,119000,205000,-86000
45,5,0,25500.0,0,0,34000,45000,-11000
65,3,3,47000.0,1,1,166000,150000,16000
40,3,4,6000.0,1,1,24000,22000,2000
36,6,0,0.0,2,1,141000,130000,11000
43,6,0,5000.0,1,0,30000,33000,-3000
22,5,4,3500.0,1,1,47000,35000,12000
30,9,5,1000.0,0,1,77000,134000,-57000
45,2,4,0.0,2,1,119000,110000,9000
54,5,4,2500.0,0,1,32000,26000,6000
46,2,4,0.0,1,1,253000,244000,9000
32,9,4,5000.0,1,1,119000,119000,0
30,3,4,0.0,2,1,134000,89000,45000
33,4,4,31000.0,0,1,45000,37000,8000
35,9,4,4500.0,0,1,15000,10000,5000
60,10,4,8500.0,2,1,106000,80000,26000
33,9,2,1000.0,1,1,37000,29000,8000
34,9,4,6000.0,0,1,32000,22000,10000
54,3,4,0.0,1,1,107000,107000,0
40,6,4,300.0,2,1,45000,30000,15000
28,6,5,80000.0,1,1,230000,216000,14000
35,5,0,4500.0,0,1,74000,71000,3000
20,2,4,0.0,2,1,119000,102000,17000
30,2,4,5000.0,0,1,47000,32000,15000
50,5,3,55000.0,1,1,151000,199000,-48000
21,3,3,56000.0,0,0,136000,139000,-3000
20,5,0,5000.0,0,1,22000,22000,0
55,4,4,0.0,0,1,74000,59000,15000
60,2,4,0.0,1,1,107000,81000,26000
60,12,4,5700.0,0,1,92000,69000,23000
45,9,4,6450.0,0,1,32000,21000,11000
28,6,3,8000.0,1,1,92000,147000,-55000
41,5,4,5000.0,1,1,32000,30000,2000
32,5,1,2100.0,0,0,74000,66000,8000
29,6,4,5000.0,1,1,52000,34000,18000
22,5,4,6000.0,0,1,25000,15000,10000
18,4,0,35500.0,0,1,66000,60000,6000
27,6,4,3700.0,1,1,30000,22000,8000
27,4,1,40800.0,0,0,82000,76000,6000
35,4,1,1000.0,1,1,74000,84000,-10000
34,6,0,4700.0,0,1,65000,71000,-6000
45,6,5,20000.0,2,1,137000,163000,-26000
34,3,2,30000.0,1,0,112000,142000,-30000
50,2,4,0.0,1,1,104000,84000,20000
30,5,3,24000.0,1,0,126000,156000,-30000
37,1,4,0.0,1,1,119000,84000,35000
36,6,3,200000.0,1,1,258000,248000,10000
40,9,1,0.0,1,1,60000,52000,8000
45,10,4,60000.0,1,1,195000,210000,-15000
68,3,5,78000.0,1,1,163000,215000,-52000
35,3,2,5000.0,0,1,107000,80000,27000
52,9,0,0.0,1,1,147000,130000,17000
20,4,4,2300.0,0,1,60000,69000,-9000
30,2,4,1500.0,1,0,60000,91000,-31000
28,5,4,0.0,2,0,119000,83000,36000
26,4,3,25000.0,2,1,125000,135000,-10000
32,2,4,0.0,1,1,119000,171000,-52000
28,4,4,4700.0,0,1,40000,33000,7000
34,1,4,5000.0,0,1,22000,17000,5000
62,6,4,8000.0,0,1,45000,36000,9000
32,3,4,0.0,1,1,119000,134000,-15000
32,2,4,0.0,2,1,119000,109000,10000
30,2,4,0.0,1,0,119000,110000,9000
70,6,4,11000.0,0,1,37000,31000,6000
26,9,4,7200.0,0,1,40000,35000,5000
28,1,4,0.0,2,1,107000,85000,22000
65,5,4,5000.0,0,1,30000,26000,4000
35,4,4,7500.0,1,1,40000,27000,13000
53,2,4,0.0,1,1,104000,152000,-48000
34,5,5,4000.0,1,1,119000,151000,-32000
34,2,4,0.0,2,1,112000,89000,23000
37,2,4,0.0,2,1,104000,112000,-8000
40,9,0,0.0,1,1,22000,33000,-11000
28,2,4,0.0,2,0,119000,204000,-85000
18,4,0,5500.0,1,1,52000,55000,-3000
25,3,1,0.0,1,1,30000,31000,-1000
24,6,4,2500.0,0,1,51000,46000,5000
26,10,2,1000.0,2,1,37000,29000,8000
30,3,2,1000.0,1,1,15000,11000,4000
35,6,2,1000.0,1,1,30000,25000,5000
27,9,1,1200.0,1,0,111000,129000,-18000
60,5,1,1000.0,1,1,134000,166000,-32000
55,6,4,1200.0,1,1,98000,74000,24000
30,5,1,1200.0,1,1,104000,114000,-10000
57,12,2,1000.0,1,1,119000,97000,22000
55,4,2,2000.0,1,1,62000,52000,10000
31,4,2,1000.0,1,0,22000,20000,2000
40,2,4,62000.0,1,1,31000,19000,12000
33,4,4,0.0,1,1,37000,22000,15000
33,6,2,1000.0,1,1,15000,12000,3000
23,13,4,0.0,1,1,90000,78000,12000
28,6,1,0.0,1,1,60000,53000,7000
26,5,2,3000.0,1,1,83000,79000,4000
31,3,1,0.0,0,0,89000,87000,2000
35,5,5,6200.0,1,1,150000,240000,-90000
50,5,2,1000.0,1,0,15000,13000,2000
35,1,0,0.0,2,0,24000,27000,-3000
33,4,1,6000.0,1,1,104000,115000,-11000
38,5,1,40000.0,2,1,52000,68000,-16000
28,5,2,1000.0,1,1,30000,24000,6000
27,5,2,1000.0,1,0,15000,12000,3000
29,5,1,1200.0,2,0,135000,125000,10000
